timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,label
2026-08-14 21:24:34,10.0.2.15,192.168.0.1,UDP,41418,53,70,normal
2026-08-14 21:24:34,10.0.2.15,192.168.0.1,UDP,41418,53,70,normal
2026-08-14 21:24:34,192.168.0.1,10.0.2.15,UDP,53,41418,86,normal
2026-08-14 21:24:34,192.168.0.1,10.0.2.15,UDP,53,41418,182,normal
2026-08-14 21:24:34,10.0.2.15,142.250.205.14,ICMP,0,0,98,normal
2026-08-14 21:24:34,142.250.205.14,10.0.2.15,ICMP,0,0,98,normal
2026-08-14 21:24:34,10.0.2.15,192.168.0.1,UDP,56039,53,87,normal
2026-08-14 21:24:34,192.168.0.1,10.0.2.15,UDP,53,56039,127,normal
2026-08-14 21:24:35,10.0.2.15,142.250.205.14,ICMP,0,0,98,normal
2026-08-14 21:24:35,142.250.205.14,10.0.2.15,ICMP,0,0,98,normal
