timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length
2026-08-14 14:46:46,10.0.2.15,192.168.0.1,UDP,39734,53,70
2026-08-14 14:46:46,10.0.2.15,192.168.0.1,UDP,39734,53,70
2026-08-14 14:46:46,192.168.0.1,10.0.2.15,UDP,53,39734,86
2026-08-14 14:46:46,192.168.0.1,10.0.2.15,UDP,53,39734,98
2026-08-14 14:46:46,10.0.2.15,172.217.24.206,ICMP,0,0,98
2026-08-14 14:46:46,172.217.24.206,10.0.2.15,ICMP,0,0,98
2026-08-14 14:46:46,10.0.2.15,192.168.0.1,UDP,41020,53,87
2026-08-14 14:46:46,192.168.0.1,10.0.2.15,UDP,53,41020,157
2026-08-14 14:46:47,10.0.2.15,172.217.24.206,ICMP,0,0,98
2026-08-14 14:46:47,172.217.24.206,10.0.2.15,ICMP,0,0,98
